Lamp,Background ,Distance,Replicate,Duration,Desiccation,Ratio,Airtemp,Humidity,Startingweight
Incandescent,White,20cm,8,8,0.0032698,1.661971831,23.1,0.6,32.43
Incandescent,White,20cm,9,8,0.003241,1.683098592,23.1,0.595,32.59
Incandescent,White,20cm,10,7,0.0038248,1.465034965,23.1,0.565,32.84
Incandescent,White,30cm,1,13,0.0039034,0.606083086,22.7,0.555,29.45
Incandescent,White,30cm,2,13,0.0036412,,22.4,0.515,32.82
Incandescent,White,30cm,3,13,0.0038723,0.679970972,23.1,0.505,35.47
Incandescent,White,30cm,4,15,0.003298,0.5,23,0.49,32.6
Incandescent,White,30cm,5,15,0.0043833,0.033333333,22.6,0.475,31.01
Incandescent,White,30cm,6,13,0.0040655,0.392261002,22.2,0.475,31.21
Incandescent,White,30cm,7,14,0.0034624,0.384505022,23.2,0.545,30.95
Incandescent,White,30cm,8,13,0.0025616,0.551593323,24,0.535,33.58
Incandescent,White,30cm,9,14,0.0037385,0.595598349,23.7,0.515,32.27
Incandescent,White,30cm,10,11,0.0030512,0.260901163,23.2,0.505,31.74
Carbon Filament Heater,White,20cm,1,21,0.0054189,0.770454545,22.8,0.54,30.99
Carbon Filament Heater,White,20cm,2,19,0.0060448,0.694405594,22.7,0.53,30.14
Carbon Filament Heater,White,20cm,3,17,0.00533,0.668382353,22.5,0.525,32.05
Carbon Filament Heater,White,20cm,4,17,0.00663,0.668382353,22.5,0.535,31.91
Carbon Filament Heater,White,20cm,5,20,0.0063922,0.992307692,22.5,0.545,29.36
Carbon Filament Heater,White,20cm,6,21,0.0068129,0.793181818,22.8,0.555,33
Carbon Filament Heater,White,20cm,7,21,0.008391,0.597777778,22.9,0.515,32.19
Carbon Filament Heater,White,20cm,8,18,0.007207,0.595454545,23,0.51,31.26
Carbon Filament Heater,White,20cm,9,18,0.0076062,0.260465116,23,0.465,31.83
Carbon Filament Heater,White,20cm,10,23,0.0085192,0.645967742,22.6,0.45,35.12
Carbon Filament Heater,White,30cm,1,30,0.0044991,1.588235294,22.2,0.56,30.93
Carbon Filament Heater,White,30cm,2,30,0.0066785,0.777777778,23.8,0.47,30.46
Carbon Filament Heater,White,30cm,3,30,0.0065686,1.5,23.8,0.45,33.23
Carbon Filament Heater,White,30cm,4,30,0.0069276,2.733333333,22.7,0.43,31.86
Carbon Filament Heater,White,30cm,5,30,0.0060529,1.294117647,22.7,0.48,32.38
Carbon Filament Heater,White,30cm,6,30,0.0051471,1.285714286,22.9,0.475,31.63
Carbon Filament Heater,White,30cm,7,30,0.0017054,1.04,22.9,0.59,29.67
Carbon Filament Heater,White,30cm,8,30,0.0025043,1.333333333,22.9,0.595,31.94
Carbon Filament Heater,White,30cm,9,30,0.0037133,1.129032258,23.4,0.59,32.83
Ceramic,White,20cm,1,14,0.0059032,1.647988506,26.8,0.45,33.04
